saison;Spieltag;Datum;time;Ort;gegner;score1;score2;win;already_meister;win_draw;lose;
2013-14;15;07.12.13;15:30;A;Werder Bremen;7;0;1;0;1;0;
2013-14;16;14.12.13;15:30;H;Hamburger SV;3;1;1;0;1;0;
2013-14;18;24.01.14;20:30;A;Bor. Mönchengladbach;2;0;1;0;1;0;
2013-14;17;29.01.14;20:00;A;VfB Stuttgart;2;1;1;0;1;0;
2013-14;19;02.02.14;17:30;H;Eintracht Frankfurt;5;0;1;0;1;0;
2013-14;20;08.02.14;15:30;A;1. FC Nürnberg;2;0;1;0;1;0;
2013-14;21;15.02.14;15:30;H;SC Freiburg;4;0;1;0;1;0;
2013-14;22;23.02.14;17:30;A;Hannover 96;4;0;1;0;1;0;
2013-14;23;01.03.14;18:30;H;FC Schalke 04;5;1;1;0;1;0;
2013-14;24;08.03.14;15:30;A;VfL Wolfsburg;6;1;1;0;1;0;
2013-14;25;15.03.14;18:30;H;Bayer Leverkusen;2;1;1;0;1;0;
2013-14;26;22.03.14;15:30;A;1. FSV Mainz 05;2;0;1;0;1;0;
2013-14;27;25.03.14;20:00;A;Hertha BSC;3;1;1;0;1;0;
2013-14;28;29.03.14;15:30;H;1899 Hoffenheim;3;3;0;1;1;0;
2013-14;29;05.04.14;15:30;A;FC Augsburg;0;1;0;1;0;1;
2013-14;30;12.04.14;18:30;H;Borussia Dortmund;0;3;0;1;0;1;
2013-14;31;19.04.14;15:30;A;Eintracht Braunschweig;2;0;1;1;1;0;
2013-14;32;26.04.14;15:30;H;Werder Bremen;5;2;1;1;1;0;
2013-14;33;03.05.14;15:30;A;Hamburger SV;4;1;1;1;1;0;
2013-14;34;10.05.14;15:30;H;VfB Stuttgart;1;0;1;1;1;0;
2012-13;1;25.08.12;15:30;A;SpVgg Greuther Fürth;3;0;1;0;1;0;
2012-13;2;02.09.12;17:30;H;VfB Stuttgart;6;1;1;0;1;0;
2012-13;3;15.09.12;15:30;H;1. FSV Mainz 05;3;1;1;0;1;0;
2012-13;4;22.09.12;15:30;A;FC Schalke 04;2;0;1;0;1;0;
2012-13;5;25.09.12;20:00;H;VfL Wolfsburg;3;0;1;0;1;0;
2012-13;6;29.09.12;15:30;A;Werder Bremen;2;0;1;0;1;0;
2012-13;7;06.10.12;15:30;H;1899 Hoffenheim;2;0;1;0;1;0;
2012-13;8;20.10.12;15:30;A;Fortuna Düsseldorf;5;0;1;0;1;0;
2012-13;9;28.10.12;17:30;H;Bayer Leverkusen;1;2;0;0;0;1;
2012-13;10;03.11.12;18:30;A;Hamburger SV;3;0;1;0;1;0;
2012-13;11;10.11.12;15:30;H;Eintracht Frankfurt;2;0;1;0;1;0;
